catalog_id,item_type,method,path,command_name,auth_required,mode,retry_policy,primary_use,source_doc
EP-001,endpoint,GET,/agent/v1/health,,Yes,Sync,"Retry network timeout with backoff",Agent health check,quickstart.md
EP-002,endpoint,GET,/agent/v1/health/upstream,,Yes,Sync,"Retry network timeout with backoff",MoreLogin upstream connectivity,quickstart.md
EP-003,endpoint,GET,/agent/v1/diagnostics/morelogin,,Yes,Sync,"Retry network timeout with backoff",Diagnostics snapshot,quickstart.md
EP-004,endpoint,POST,/agent/v1/diagnostics/morelogin/refresh,,Yes,Sync,"Retry only if retryable error",Refresh diagnostics,quickstart.md
EP-005,endpoint,POST,/agent/v1/commands/{command_name},,Yes,Sync/Async,"Respect retryable + Retry-After",Execute automation command,quickstart.md
EP-006,endpoint,GET,/agent/v1/jobs/{job_id},,Yes,Sync,"Retry network timeout with backoff",Poll async job status,quickstart.md
EP-007,endpoint,POST,/agent/v1/callbacks/morelogin,,Conditional (loopback exempt),Async Event,"No client retry; dedup by event_id",Ingest callback from MoreLogin,callbacks.md
EP-008,endpoint,POST,/agent/v1/local-ops/callbacks/dead-letter/{event_id}/retry,,Yes,Sync,"Retry only if retryable error",Retry dead-letter callback,callbacks.md
CMD-001,command,POST,/agent/v1/commands/{command_name},profile.list,Yes,Sync,"Retry on retryable errors",List browser profiles,quickstart.md
CMD-002,command,POST,/agent/v1/commands/{command_name},profile.start,Yes,Sync,"Retry on transport/rate-limit",Start browser profile,quickstart.md
CMD-003,command,POST,/agent/v1/commands/{command_name},profile.stop,Yes,Sync,"Retry on transport/rate-limit",Stop browser profile,quickstart.md
CMD-004,command,POST,/agent/v1/commands/{command_name},profile.status,Yes,Sync,"Retry on transport/rate-limit",Check profile status,quickstart.md
CMD-005,command,POST,/agent/v1/commands/{command_name},browser.open_and_run,Yes,Always Async,"Retry submit if retryable; then poll job",Open browser and run script,quickstart.md
CMD-006,command,POST,/agent/v1/commands/{command_name},cloudphone.list,Yes,Sync,"Retry on retryable errors",List cloud phones,quickstart.md
CMD-007,command,POST,/agent/v1/commands/{command_name},cloudphone.power_on,Yes,Sync,"Retry on transport/rate-limit",Power on cloud phone,quickstart.md
CMD-008,command,POST,/agent/v1/commands/{command_name},cloudphone.power_off,Yes,Sync,"Retry on transport/rate-limit",Power off cloud phone,quickstart.md
CMD-009,command,POST,/agent/v1/commands/{command_name},cloudphone.exec_command,Yes,Sync,"Retry on transport/rate-limit",Execute cloud phone command,quickstart.md
CMD-010,command,POST,/agent/v1/commands/{command_name},file.attach_from_url,Yes,Always Async,"Retry submit if retryable; then poll job",Upload file to cloud phone,quickstart.md
CMD-011,command,POST,/agent/v1/commands/{command_name},file.download,Yes,Always Async,"Retry submit if retryable; then poll job",Download file from cloud phone,quickstart.md
CMD-012,command,POST,/agent/v1/commands/{command_name},schedule.create,Yes,Always Async,"Retry submit if retryable; then poll job",Create scheduled task,quickstart.md
CMD-013,command,POST,/agent/v1/commands/{command_name},schedule.cancel,Yes,Sync,"Retry on transport/rate-limit",Cancel scheduled task,quickstart.md
